id,code_bc,name,short_name,bic,country:id,ispb_number,compe_member,acc_number_format
res_bank_147,298,Vip's Corretora de Câmbio Ltda.,VIPS CC LTDA.,,base.br,17772370,0,%(acc_number)s
res_bank_148,299,"SOROCRED CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",SOROCRED CFI S.A.,,base.br,4814563,0,%(acc_number)s
res_bank_149,300,Banco de la Nacion Argentina,BCO LA NACION ARGENTINA,NACNBRSP,base.br,33042151,1,%(acc_number)s
res_bank_150,301,BPP Instituição de Pagamento S.A.,BPP IP S.A.,,base.br,13370835,0,%(acc_number)s
res_bank_151,306,PORTOPAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,PORTOPAR DTVM LTDA,,base.br,40303299,0,%(acc_number)s
res_bank_152,307,Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.,TERRA INVESTIMENTOS DTVM,,base.br,3751794,0,%(acc_number)s
res_bank_153,309,CAMBIONET CORRETORA DE CÂMBIO LTDA.,CAMBIONET CC LTDA,,base.br,14190547,0,%(acc_number)s
res_bank_154,310,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,VORTX DTVM LTDA.,,base.br,22610500,0,%(acc_number)s
res_bank_155,315,PI Distribuidora de Títulos e Valores Mobiliários S.A.,PI DTVM S.A.,,base.br,3502968,0,%(acc_number)s
res_bank_156,318,Banco BMG S.A.,BCO BMG S.A.,BMBCBRSP,base.br,61186680,1,%(acc_number)s
res_bank_157,319,OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,OM DTVM LTDA,,base.br,11495073,0,%(acc_number)s
res_bank_158,320,China Construction Bank (Brasil) Banco Múltiplo S/A,BCO CCB BRASIL S.A.,BICBBRSP,base.br,7450604,1,%(acc_number)s
res_bank_159,321,CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LT,CREFAZ SCMEPP LTDA,,base.br,18188384,0,%(acc_number)s
res_bank_160,322,Cooperativa de Crédito Rural de Abelardo Luz - Sulcredi/Crediluz,CCR DE ABELARDO LUZ,,base.br,1073966,0,%(acc_number)s
res_bank_161,323,MERCADOPAGO.COM REPRESENTACOES LTDA.,MERCADO PAGO,,base.br,10573521,0,%(acc_number)s
res_bank_162,325,Órama Distribuidora de Títulos e Valores Mobiliários S.A.,ÓRAMA DTVM S.A.,,base.br,13293225,0,%(acc_number)s
res_bank_163,326,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",PARATI - CFI S.A.,,base.br,3311443,0,%(acc_number)s
res_bank_164,329,QI Sociedade de Crédito Direto S.A.,QI SCD S.A.,,base.br,32402502,0,%(acc_number)s
res_bank_165,330,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,BANCO BARI S.A.,,base.br,556603,0,%(acc_number)s
res_bank_166,331,Fram Capital Distribuidora de Títulos e Valores Mobiliários S.A.,FRAM CAPITAL DTVM S.A.,,base.br,13673855,0,%(acc_number)s
res_bank_167,332,Acesso Soluções de Pagamento S.A.,ACESSO SOLUCOES PAGAMENTO SA,,base.br,13140088,0,%(acc_number)s
res_bank_168,335,Banco Digio S.A.,BANCO DIGIO,,base.br,27098060,0,%(acc_number)s
res_bank_169,336,Banco C6 S.A.,BCO C6 S.A.,,base.br,31872495,0,%(acc_number)s
res_bank_170,340,Super Pagamentos e Administração de Meios Eletrônicos S.A.,SUPER PAGAMENTOS E ADMINISTRACAO DE MEIOS ELETRONICOS S.A.,,base.br,9554480,0,%(acc_number)s
res_bank_171,341,ITAÚ UNIBANCO S.A.,ITAÚ UNIBANCO S.A.,ITAUBRSP,base.br,60701190,1,%(acc_number)s
res_bank_172,342,Creditas Sociedade de Crédito Direto S.A.,CREDITAS SCD,,base.br,32997490,0,%(acc_number)s
res_bank_173,343,FFA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,FFA SCMEPP LTDA.,,base.br,24537861,0,%(acc_number)s
res_bank_174,348,Banco XP S.A.,BCO XP S.A.,,base.br,33264668,0,%(acc_number)s
res_bank_175,349,"AMAGGI S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",AMAGGI S.A. CFI,,base.br,27214112,0,%(acc_number)s
res_bank_176,350,COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CE,CREHNOR LARANJEIRAS,,base.br,1330387,0,%(acc_number)s
res_bank_177,352,TORO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,TORO CTVM LTDA,,base.br,29162769,0,%(acc_number)s
res_bank_178,354,NECTON INVESTIMENTOSS.A. CORRETORA DE VALORES MOBILIÁRIOS E COMMODITIES,NECTON INVESTIMENTOS S.A CVM,,base.br,52904364,0,%(acc_number)s
res_bank_179,355,ÓTIMO SOCIEDADE DE CRÉDITO DIRETO S.A.,ÓTIMO SCD S.A.,,base.br,34335592,0,%(acc_number)s
res_bank_180,359,"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A",ZEMA CFI S/A,,base.br,5351887,0,%(acc_number)s
res_bank_181,363,SOCOPA SOCIEDADE CORRETORA PAULISTA S.A.,SOCOPA SC PAULISTA S.A.,,base.br,62285390,0,%(acc_number)s
res_bank_182,364,GERENCIANET PAGAMENTOS DO BRASIL LTDA,GERENCIANET PAGTOS BRASIL LTDA,,base.br,9089356,0,%(acc_number)s
res_bank_183,365,SOLIDUS S.A. CORRETORA DE CAMBIO E VALORES MOBILIARIOS,SOLIDUS S.A. CCVM,,base.br,68757681,0,%(acc_number)s
res_bank_184,366,BANCO SOCIETE GENERALE BRASIL S.A.,BCO SOCIETE GENERALE BRASIL,BSOGBRSP,base.br,61533584,1,%(acc_number)s
res_bank_185,367,VITREO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,VITREO DTVM S.A.,,base.br,34711571,0,%(acc_number)s
res_bank_186,368,Banco CSF S.A.,BCO CSF S.A.,,base.br,8357240,0,%(acc_number)s
res_bank_187,370,Banco Mizuho do Brasil S.A.,BCO MIZUHO S.A.,WELABRSP,base.br,61088183,0,%(acc_number)s
